,NOM,FORMAT,#catalogue1,#catalogue2,fournisseur2,fournisseur1,prix
anticorps&autres,RhoGDI,50ug,610255,,,bd biosciences,259.2
anticorps&autres,R-PE conjugated rat anti-mouse Valpha 2 T-cell receptor monoclonal antibody (clone B20.1),0.1 mg,553289,,,bd biosciences,239.2
anticorps&autres,R-PE-conjugated Rat anti-human IL-2 ,,554566,,,bd biosciences,404
anticorps&autres,SMART Race amplification kit,,634914,,,bd biosciences,759.2
anticorps&autres,Sreptavidin-PercP,0.1mg,554064,,,bd biosciences,423.9
anticorps&autres,Steptavidin Pe texas Red,0.1mg,551487,,,bd biosciences,282.6
anticorps&autres,STREPTAVIDIN PECY7,0.1mg,557598,,,bd biosciences,267.2
anticorps&autres,Streptavidin-Allophycocyanin (SAv-APC),0.1 mg,554067,,,bd biosciences,184.8
anticorps&autres,Streptavidin-PE,100 tests,349023,,,bd biosciences,345.6
anticorps&autres,streptavidin-PE-Cy5,0.1mg,554062,,,bd biosciences,184.8
anticorps&autres,TMB substrate kit,,555214,,,bd biosciences,109.6
anticorps&autres,TNF Alexa Fluor 700,"0,1 mg",557996,,,bd biosciences,378
plastique,tubes d'accudrop,,345249,,,bd biosciences,349
anticorps&autres,anti CD208 PE,LIQUID,IM3578,,,beckman coulter,604.5
anticorps&autres,anti human CD86 PE,100 tests,IM2729,,,beckman coulter,0
anticorps&autres,anti-CD8 ECD,,6604728,,,beckman coulter,395.5
anticorps&autres,anti-humain CD83-PE,2 ml, IM2218,,,beckman coulter,421.36
anticorps&autres,anti-humain KC57 RD1 (PE) (anti-gag),100 tests,6604667,,,beckman coulter,0
anticorps&autres,anti-human CD1a-PE,100 Test,IM1942,,,beckman coulter,546.7
anticorps&autres,anti-human CD25-ECD,,6607112,,,beckman coulter,637.05
anticorps&autres,anti-human CD3-ECD,1ml,IM2705,,,beckman coulter,660.3
anticorps&autres,anti-human CD45RA-ECD,1ml,IM2711,,,beckman coulter,474.3
anticorps&autres,anti-human CD62L ECD,,IM2713,,,beckman coulter,465
anticorps&autres,Anti-Human TCR Vbeta14 FITC,,IM1558,,,beckman coulter,458.95
anticorps&autres,Anti-Human TCR Vbeta18 Unconjugated,,IM1261,,,beckman coulter,383.6
anticorps&autres,Anti-Human TCR Vbeta8  FITC,,IM1233,,,beckman coulter,458.95
four. labo,Bucket cap for rotor,,336414,,,beckman coulter,290
anticorps&autres,CD127,LIQ,IM1980,,,beckman coulter,554
anticorps&autres,CD57 FITC,100 tests, IM0466,,,beckman coulter,435.5
anticorps&autres,CD57 PE,1 x 100 t,IM2377,,,beckman coulter,376.84
anticorps&autres,CH11 anti CD95,100 microlitres,IM1504,,,beckman coulter,314.04
anticorps&autres,Goat anti human IgG (Fc)-PE,1ml,IM0550,,,beckman coulter,356.2
anticorps&autres,HIV 1 core antigen FITC,,6604665,,,beckman coulter,618
anticorps&autres,Mart1 iTAg MHC tetramer,500ul,T01008,,,beckman coulter,1250
four. labo,"O-Ring, Lid, Rotor, JA-20 JA-21",,870612,,,beckman coulter,3.65
four. labo,"O-Ring, Rotor, Small",,11757,,,beckman coulter,4.17
four. labo,"O-Ring, Stationary Seal, Outer Perimeter",,811656,,,beckman coulter,2.48
plastique,Polyallomer centrifuge tubes,50,342413,,,beckman coulter,127.6
plastique,Polyallomer centrifuge tubes,50 tubes,331372,,,beckman coulter,203.97
anticorps&autres,TCR pan alpha/beta  -PE,50 tests,IM1467,,,beckman coulter,546.7
anticorps&autres,TcR Vbeta2,FRD,IM2006,,,beckman coulter,378
anticorps&autres,TcR Vbeta7,FRD,IM2037,,,beckman coulter,393.3
plastique,ultra clear centrifuge tubes,50 tubes,344057,,,beckman coulter,98.45
anticorps&autres,Anti mouse IgM mu heavy chain,2 mg,5276-2104,,,biogenesis,265
anticorps&autres,anti-human Valpha2 Mab,frozen liquid,TCR1663,,,biolynx,357.2
anticorps&autres,BCA Protein Assay Reagent Kit,kit,23227,,,biolynx,118
anticorps&autres,Goat anti-mouse IgG (Fc)-HRP,2 ml,31437,,,biolynx,150
anticorps&autres,NucliSens Isolation Reagents,,284160,,,biomerieux canada,672.11
plastique,"20-Well Comb, 14 cm wide, 1.5 mm thick, fixed height",,170-4448,,,bio-rad laboratories,52.8
plastique,"Combs, 15 wells,1.5 mm",1,165-3366,,,bio-rad laboratories,35
plastique,"combs,10w.1mm",2,165-3359,,,bio-rad laboratories,35
anticorps&autres,Coomassie brilliant Blue G-250,10 gr.,161-0406,3010816,GRM,bio-rad laboratories,45
four. labo,Econo-Pac empty columns,50,732-1010,,,bio-rad laboratories,137
plastique,"Fised height comb, 30 well",,170-4449,,,bio-rad laboratories,52.8
four. labo,Frits,12,165-2987,,,bio-rad laboratories,54
four. labo,Gasket for casting stand,2,165-3305,3021826,GRM,bio-rad laboratories,37
four. labo,Gene pulser cuvette 0.4cm ,pkg of 50,165-2088,2012125,GRM,bio-rad laboratories,222
plastique,Glass tube,6,165-2978,,,bio-rad laboratories,83
plastique,"Inner Plates, for 20 cm cell, 20 x 20 cm, 2",,165-1823,,,bio-rad laboratories,36
anticorps&autres,Marker prestained protein dual color,500 ul,161-0374,3027510,GRM,bio-rad laboratories,136.8
four. labo,membranes,12,165-2985,,,bio-rad laboratories,78
four. labo,Mini-Protean-3 Electrophoresis Cell,1,165-3322,,,bio-rad laboratories,603.4
four. labo,"Mini-Sub Cell GT System, with 7x10 cm tray, mini-gel caster",,170-4467,,,bio-rad laboratories,423
plastique,"Outer Plates, for 20 cm cell, 22.3 x 20 cm, 2",,165-1824,,,bio-rad laboratories,36
plastique,Plates (short),5pqt,165-3308,3012134,GRM,bio-rad laboratories,27
anticorps&autres,Precisions plus Protein Unstained Standards ,1ml 100 applications,161-0363,,,bio-rad laboratories,110.04
plastique,Preparative Comb,1,170-4441,,,bio-rad laboratories,66
plastique,"Preparative Comb, 2 preparative, 2 reference wells, 1.5 mm thick, fixed height",,170-4461,,,bio-rad laboratories,52.8
anticorps&autres,Prestained SDS-PAGE,1 vials 500 ul,161-0318,,,bio-rad laboratories,108
anticorps&autres,"PROTEAN II xi Cell, 20 cm",,165-1812,,,bio-rad laboratories,1710
anticorps&autres,"PROTEAN II xi Spacers, 20 cm, 1.5 mm spacers",,165-1849,,,bio-rad laboratories,76.8
anticorps&autres,Protein Assay,,500-0006,3000963,GRM,bio-rad laboratories,119
anticorps&autres,Quantum Prep Plasmid Miniprep Kit,kit,732-6100,,,bio-rad laboratories,148.75
plastique,"Silicone tubing 1.6mm ID/0.8mm, 10m length",,731-8211,,,bio-rad laboratories,91
plastique,Spacer plates 1 mm,5pqt,165-3311,3017604,GRM,bio-rad laboratories,72
plastique,Spacer plates 1.5 mm,5pqt,165-3312,3019897,GRM,bio-rad laboratories,72
four. labo,"Sub-Cell GT System, with 15 x 25 cm tray, gel caster",,170-4484,,,bio-rad laboratories,688.5
four. labo,"Sub-Cell GT UV-Transparent Gel Tray, 15 x 10 cm",,170-4416,,,bio-rad laboratories,87.2
four. labo,"Sub-Cell GT UV-Transparent Mini-Gel Tray, 7 x 10 cm",96bte,170-4435,3012129,GRM,bio-rad laboratories,51.2
plastique,Support pour tubes 1.1ml (titertube),10 par boite,223-9394,,,bio-rad laboratories,17
plastique,Tips prot/electro,1000/box,223-9915,,,bio-rad laboratories,59
four. labo,UV transparent wide mini gel tray,,170-5300,,,bio-rad laboratories,74.4
four. labo,wide mini-sub cell GT system,,170-4468,,,bio-rad laboratories,491.4
four. labo,Wide Mini-Sub Cell GT System,1,170-4469,,,bio-rad laboratories,584
anticorps&autres,Agarose,500 gr,AGA 001,,,Bioshop,349
anticorps&autres,BES,100g,BES201.100,,,Bioshop,78
anticorps&autres,Boric Acid,5kg,BOR001.5,,,Bioshop,94
anticorps&autres,Butanol,1Litre,BTU001.1,,,Bioshop,25
anticorps&autres,Cesium chloride,1kg,CES 001,3027308,GRM,Bioshop,285
anticorps&autres,Chloroforme IL Spectrograde,1 Litre,CCL 402,,,Bioshop,37
anticorps&autres,DTT,5 g,DTT 001,,,Bioshop,49
anticorps&autres,Glycine,1 Kg,GLN 001,68755,GRM,Bioshop,28
anticorps&autres,Guanidine Hydrochloride,1 Kg,GUA001.1,,,Bioshop,225
anticorps&autres,HEPES,100 g,HEP 001,,,Bioshop,41
anticorps&autres,IPTG,25 g,IPT 001,,,Bioshop,299
anticorps&autres,Iso-propyl alcohol,4 L,ISO 920,,,Bioshop,40
anticorps&autres,Methanol,4 x 4L,"MET 302,404",3025709,GRM,Bioshop,89
anticorps&autres,Sodium Chloride,10kg,SOD001.10,3027209,GRM,Bioshop,70
anticorps&autres,Sodium Dodecyl Sulfate ( SDS ),1 Kg,SDS 001,,,Bioshop,124
anticorps&autres,Sodium phosphate dibasic,5 kg,SPD307,,,Bioshop,95
anticorps&autres,Tris-Base,5 Kg,TRS001,,,Bioshop,265
anticorps&autres,Yeast extract,1 kg,YEX401,,,Bioshop,73
anticorps&autres,LAL Gel Clot Complet Test Kit,20 test,50-500U-06,,Cambrex,cedarlane laboratories,253
anticorps&autres, RECOMBINANT HUMAN IFN-GAMMA ,100 ug, 285-IF-100,,,cedarlane laboratories,480
anticorps&autres,"2', 3'-Dideoxynucleotide-5'-triphosphate Set (ddNTP) (20mM, 4x1umole, ddATP, ddCTP, ddGTP, ddTTP)",20mM,D7880-26,,,cedarlane laboratories,418
anticorps&autres,293-hTLR4A,vial,293-htlr4a,,,cedarlane laboratories,984
anticorps&autres,293-hTLR8,vial,293-htlr8,,,cedarlane laboratories,984
anticorps&autres,96 well ELISA plates,1 carton de 50,170-320-04,,Canadawide Scientific,cedarlane laboratories,0
anticorps&autres,affinipure rabbit anti-mouse IgM,2mg,315-005-020,315-005-020,Jackson,cedarlane laboratories,146
anticorps&autres,AKT pathway kit,,9916,,,cedarlane laboratories,350
anticorps&autres,Alexa fluor 488 goat anti human IgG (H+L),0.5ml,A-11013,A-11013,Molecular Probes,cedarlane laboratories,171
anticorps&autres,Alexa Fluor Mouse anti-human CD3 ,Liquide,MHCD0326,,,cedarlane laboratories,323
anticorps&autres,anti CD8 PE TXR,0.5,LMHCD0817,,,cedarlane laboratories,383
anticorps&autres,anti human CD80 PE,100tests,FAB140P,,,cedarlane laboratories,366
anticorps&autres,Anti human HLA-B7,0.2mg,MCA986,,,cedarlane laboratories,352
anticorps&autres,anti mouse CD62L PE-Tx,EA,RM4317,,,cedarlane laboratories,383
anticorps&autres,Anti mouse Cytokeratin 18,250µl,61528,,,cedarlane laboratories,444
anticorps&autres,Anti Mouse Keratin 5,"0,1ml",PRB-160P-100,,,cedarlane laboratories,468
anticorps&autres,anti-caspase8 (Ab-3),100ug,AM46,,,cedarlane laboratories,375.13
anticorps&autres,Anti-cleaved Notch-1 antibody,100 ul,2421,,Cell Signaling,cedarlane laboratories,250
anticorps&autres,anti-FLIP(DAVE-2),100ug,ALX-804-127-c100,,,cedarlane laboratories,567
anticorps&autres,anti-FLIP(SAVE-2),100ug,ALX-804-127-c100,,,cedarlane laboratories,567
anticorps&autres,Anti-HES1 antibody,100 ug,AB5702,,Chemicon International,cedarlane laboratories,358.34
anticorps&autres,Anti-human CCR-6-Fluorescein,100test,FAB195F,,,cedarlane laboratories,285
anticorps&autres,Anti-human CCR7-Fluorescein,,FAB197F,,,cedarlane laboratories,298
anticorps&autres,anti-human CD80 -FITC,100test,P91853F,,,cedarlane laboratories,0
anticorps&autres,Anti-Human Notch3 antibody,100 ug,AF1559,,R&D Systems,cedarlane laboratories,492.1
anticorps&autres,anti-Human Notch4 antibody,100 ug,pab-10684,,Orbigen,cedarlane laboratories,190
anticorps&autres,Anti-human PD1,100µg,AF1086,,,cedarlane laboratories,467
anticorps&autres,Anti-IDO,100ug,AB5968,,,cedarlane laboratories,366
anticorps&autres,anti-Mouse IFN alpha,2 x 10000 units,CL9140AP,,,cedarlane laboratories,339
anticorps&autres,Anti-mouse IL-7 Antibody,100 ug,AF407,,,cedarlane laboratories,467
anticorps&autres,anti-PARP,100uL,9542,,,cedarlane laboratories,150
anticorps&autres,anti-rat HRP,1ml,3050-05,,,cedarlane laboratories,150
anticorps&autres,ApoStat intracellular caspases detection,1mL,FMK012,,,cedarlane laboratories,435
anticorps&autres,Bad Antibody,100 ul,9292,,,cedarlane laboratories,150
anticorps&autres,Bcl-xL (54H6),100ul,2764,,,cedarlane laboratories,280
anticorps&autres,Benzonase Nuclease,10 000 units,70664-3,,Novagen,cedarlane laboratories,180
anticorps&autres,Bim Antibody,100ml,4582,,,cedarlane laboratories,240
anticorps&autres,Biotynilated anti mouse IL-7 Antibody,50µg,BAF407,,,cedarlane laboratories,501
anticorps&autres,BirA (Bulk Biotin Protein Ligase),2 pack de 10 vials,BIRA,,avidity,cedarlane laboratories,1568
anticorps&autres,BL21 (DE3),,200131,,,cedarlane laboratories,219
anticorps&autres,"Bovine Albumin (BSA) Fraction V, Protease Free",1 kg,82-045-1,,,cedarlane laboratories,326.48
anticorps&autres,"Bovine Albumin (BSA) Fraction V, protease free",1 kg,82-045-2,,Serologicals Proteins,cedarlane laboratories,929
anticorps&autres,Casapase 3 antibody,100 ul,9662,,,cedarlane laboratories,240
anticorps&autres,caspase 9 antibody (human specific),100uL,9502,,,cedarlane laboratories,240
anticorps&autres,Caspase fmk inhibitor control z-FA,5mg,FMKC01,,,cedarlane laboratories,265
anticorps&autres,CASPASE-3 FMK INHIBITOR Z-DEVD,1 mg,FMK004,,R&D Systems,cedarlane laboratories,255
anticorps&autres,CASPASE-6 FMK INHIBITOR Z-VEID,1 mg,FMK006,,R&D Systems,cedarlane laboratories,255
anticorps&autres,CD8 PE Texas red,vial 0.5 ml,MHCD0817,3060306,GRM,cedarlane laboratories,383
anticorps&autres,Cell lines,,CRL-2638,,ATCC,cedarlane laboratories,350
anticorps&autres,Cells lines,,CCL-222,,,cedarlane laboratories,288
anticorps&autres,Cells Lines,,HTB-1,,,cedarlane laboratories,490
anticorps&autres,cleaved caspase 3 antibody,100ul,9661,,,cedarlane laboratories,356.25
anticorps&autres,"Complement, Rabbit Serum ",5 ml,234400-5ML,,,cedarlane laboratories,112.69
anticorps&autres,Deoxynucleotide Mix,400 ul,200415,,,cedarlane laboratories,233
anticorps&autres,"DNP-Albumin conjugate, Bovine",100mg,324101,,,cedarlane laboratories,130.41
anticorps&autres,donkey anti-mouse IgG (H+L),1 mg,715-005-150,,,cedarlane laboratories,70
anticorps&autres,FKHR Antibody,,9462,,,cedarlane laboratories,150
anticorps&autres,Fluorescein(FITC) AffiniPure F(ab´)2 Fragment Goat Anti-human IgG,100mg,109 096 006,,,cedarlane laboratories,139
anticorps&autres,Formamide Deionized,500ml,S4117,,Chemicon International,cedarlane laboratories,88
anticorps&autres,Freund  Adjuvant  Complete,10 ml,SF 1000,,,cedarlane laboratories,55
anticorps&autres,Freund  Adjuvant  Incomplete,10 ml,SF 1111,,,cedarlane laboratories,39
anticorps&autres,GAM IgG (H+L) FITC,1 vial,M30001,,,cedarlane laboratories,140.6
anticorps&autres,GelStar® Nucleic Acid Stain,2 x 250 ul,50535,,,cedarlane laboratories,196
anticorps&autres,Goat Anti Mouse IgG(H+L) R-PhycoErythrin,vial,M30004-1,,,cedarlane laboratories,145
anticorps&autres,Goat anti-FOXP3 (FOXP3),100 ug liquide,ab2481,,,cedarlane laboratories,464
anticorps&autres,goat anti-mouse IgG1 HRP,,1070-05,,,cedarlane laboratories,165
anticorps&autres,Goat Anti-Rat IgG (H+L)  FITC,vial 1 ml,R40001,,,cedarlane laboratories,206
anticorps&autres,Goat F(ab')2 Anti-Mouse IgG (H+L),LIQ,M35017,,Caltag,cedarlane laboratories,374
anticorps&autres,Goat F(ab)2 anti-rat IgG (H+L) PE Texas-Red,EA,R40117,,,cedarlane laboratories,0
anticorps&autres,"HIV-1 nef, aa168-174 , Monoclonal antibody",0.5 mg/ml,H6004-15C,,us biological,cedarlane laboratories,527
anticorps&autres,HRP-conjugated anti-Human IgG,2 ml,109-035-008,,Jackson IR,cedarlane laboratories,149
anticorps&autres,HRP-conjugated goat anti-Rabbit IgG antibody,1.5 ml,111-035-144,,,cedarlane laboratories,158
anticorps&autres,Hu-IFNa kit Elisa,96,RDI-PB41110,,,cedarlane laboratories,780
anticorps&autres,Human CD4-APC-Cy7,,MHCD0414,,Cedarlan,cedarlane laboratories,431
anticorps&autres,Human CTLA-4,50ug,BAF386,,,cedarlane laboratories,501
anticorps&autres,Human CXCR6 Phycoerythrin MAb (Clone 56811),100 tests,FAB699P,,,cedarlane laboratories,190
anticorps&autres,"Human Cytomegalovirus (CMV) Antigen (AD169), Lysate",1ml,R9A104,,,cedarlane laboratories,153
anticorps&autres,human hr IFN-alpha,1MU,11200-2,,,cedarlane laboratories,556
anticorps&autres,human recombinant IL-1b,25ug,201-LB-025,,,cedarlane laboratories,1145
anticorps&autres,Human Survivin Phycoerythrin MAb,100 test, IC6472P,,,cedarlane laboratories,352
anticorps&autres,Hygromycin B,5mi,400051,,,cedarlane laboratories,747.4
anticorps&autres,IDO Control Peptide,100 ug,AG 789,,,cedarlane laboratories,215
anticorps&autres,IFN alpha (mouse) Elisa kit,1 plate,P411101,PBL-42100,,cedarlane laboratories,578
anticorps&autres,IFN-alpha 1,,11175-1,,R&D,cedarlane laboratories,0
anticorps&autres,IFN-alpha 2,,11105-1,,R&D,cedarlane laboratories,0
anticorps&autres,ionomycin calcium salt,1mg,407952,,,cedarlane laboratories,117.77
anticorps&autres,Klenow Reaction Buffer 10 X,1 ml,70094,,Cedarlan,cedarlane laboratories,18
anticorps&autres,LAL gel clot complete test kit,,50-500U-12,,,cedarlane laboratories,261
anticorps&autres,LAL reagent water,,W50-640,,,cedarlane laboratories,7
anticorps&autres,LAL single test kit vials,,N289-125,,,cedarlane laboratories,101
anticorps&autres,Loxoribine,50 mg,tlrl-lox,,invivogen,cedarlane laboratories,112
anticorps&autres,MAb to FLIP (Human) (Dave-2),Immediate,804-127-C100,,Alexis biochemicals Qbiogene,cedarlane laboratories,0
anticorps&autres,MDE Gel Solution (2X concentrate),250 ml,50620,,,cedarlane laboratories,180
anticorps&autres,MDE Heteroduplex Kit,Kit,50622,,,cedarlane laboratories,350
anticorps&autres,monoclonal antibody to FasL human (5G51),100 ug,ALX-804-231-C100,,,cedarlane laboratories,478
anticorps&autres,Monoclonal anti-human Bid,100uL,2002,,,cedarlane laboratories,228
anticorps&autres,Mononconal anti-human/mouse Caspase 7,100 microgrammes,MAB823,,,cedarlane laboratories,386
anticorps&autres,mouse anti-IDO antibody,100 ug,MAB5412,,,cedarlane laboratories,374
anticorps&autres,"Mouse Anti-Smad2 Monoclonal Antibody, Clone 34G6",100 ul,3102,,,cedarlane laboratories,150
anticorps&autres,Mouse IFN-beta ELISA Kit,,42400-1,,,cedarlane laboratories,678
anticorps&autres,Mouse IgG1 Tricolor,0.5 mL,MG106,,Caltag,cedarlane laboratories,172
anticorps&autres,Mouse IL-7 immunoassay,,M7000,,,cedarlane laboratories,602
anticorps&autres,mouse serum,100ml,ES1015,,,cedarlane laboratories,234.65
anticorps&autres,mouse serum (Black 6 mice),50ml,ES1014,,biomeda,cedarlane laboratories,143
anticorps&autres,Mouse serum/Black 6,500ml,ES1016 ,,,cedarlane laboratories,480
anticorps&autres,Mycoplasma plus PCR primer Set,50 reactions,302008,,,cedarlane laboratories,537
anticorps&autres,NK-92MI ,cell line,CRL-2408,,ATCC,cedarlane laboratories,225
anticorps&autres,Oligonucleotide ODN 1826 control,100µg,tlrl-modnc,,,cedarlane laboratories,140
anticorps&autres,p27 Kip1 Antibody,100ml,2552,,,cedarlane laboratories,240
anticorps&autres,Pan Caspase FMK Inhibitor Z-VAD,1 mg,FMK001,,,cedarlane laboratories,160.55
anticorps&autres,PDK1 antibody,,3062,,,cedarlane laboratories,150
anticorps&autres,Pfu ultra DNA polymerase,100 u,600380,600380,Stratagene,cedarlane laboratories,172
anticorps&autres,PfuUltra™,500,600392,,,cedarlane laboratories,795
anticorps&autres,Phospho-Bad (Ser112) Antibody,100 ul,9291S,,,cedarlane laboratories,250
anticorps&autres,Phospho-Erk1/2 Pathway Sampler Kit,,9911,,,cedarlane laboratories,443
anticorps&autres,Phospho-FKHR (Ser256) Antibody,,9461S,,,cedarlane laboratories,250
anticorps&autres,Phospho-FKHR (Thr24)/FKHRL1 (Thr32) Antibody,100 ul,9464S,,,cedarlane laboratories,400
anticorps&autres,Phospho-FKHRL1 (Ser253) Antibody,,9466S,,,cedarlane laboratories,250
anticorps&autres,Phospho-FKHRL1 (Ser318/321) Antibody,100 ul,9465S,,,cedarlane laboratories,400
anticorps&autres,Phospho-IKKalpha/beta (Ser176/180) Antibody II,,2694P,,,cedarlane laboratories,194
anticorps&autres,Phospho-Lck (Tyr505) Antibody,100 microlitres,2751S,,,cedarlane laboratories,250
anticorps&autres,Phospho-Smad2 (Ser465/467) Antibody,100 ul,3101S,,,cedarlane laboratories,250
anticorps&autres,Pim-1 Antibody,,4722,,,cedarlane laboratories,264
anticorps&autres,Plasmocin,50mg,ant-mpt,,,cedarlane laboratories,176
anticorps&autres,poly (I:C),10 mg,tlrl-pic,,,cedarlane laboratories,120
anticorps&autres,Poly HRP-40 Streptavidin,1mg,RDI-PHRP20-SA,,R&D,cedarlane laboratories,492
anticorps&autres,Polybead amino 1.0 micron microspheres (2.5% solids-latex),1 bouteille,17010,,,cedarlane laboratories,0
anticorps&autres,Polybead® Carboxylate Microspher,2ml,18133-2,,Polysciences inc.,cedarlane laboratories,97
anticorps&autres,Polyclonal Antibody to SMAD4,,IMG-565,,,cedarlane laboratories,185
anticorps&autres,Polyclonal Antibody to SMAD7,,IMG-531,,,cedarlane laboratories,268
anticorps&autres,prostaglandin e2,50,14010,,,cedarlane laboratories,632
anticorps&autres,PTEN antibody,,9552,,,cedarlane laboratories,150
anticorps&autres,rabbit anti-GADD45a polyclonal antibody,100ug,AB3863,,,cedarlane laboratories,334
anticorps&autres,Rabbit polyclonal to steap,100ug,AB3679,,ABCAM Limited,cedarlane laboratories,418
anticorps&autres,"Rat anti mouse F4/80, FITC conjugated",100 microgrammes,CL8940F,,,cedarlane laboratories,294
anticorps&autres,Rat monoclonal antibody against mouse interferon alpha,250 microgrammes,22100-1,,,cedarlane laboratories,379
anticorps&autres,Rat monoclonal antibody against mouse interferon beta,250 microgrammes,22400-1,,,cedarlane laboratories,386
anticorps&autres,Rat Notch-1/Fc Chimera,50 ug,1057-TK-050 ,,,cedarlane laboratories,397.1
anticorps&autres,re-blot plus strong solution 10X,50ml,2504,,,cedarlane laboratories,119.45
anticorps&autres,Recombinant Human  IL-10,,217-IL-005,,R&D Systems,cedarlane laboratories,400
anticorps&autres,recombinant human CD28,200ug,342-cd-200,,,cedarlane laboratories,450.3
anticorps&autres,recombinant human CTLA-4 fc chimera,200ug,325-CT-200,,,cedarlane laboratories,457
anticorps&autres,recombinant human Fas/Fc Chimera/TNFRSF6,50 ug,326-FS-050,,,cedarlane laboratories,474
anticorps&autres,Recombinant human IFN-gamma,100ug,285-IF-100,,,cedarlane laboratories,434
anticorps&autres,Recombinant Human IL-12,,219-IL-005,,R&D Systems,cedarlane laboratories,393
anticorps&autres,Recombinant Human IL-15,5ug,247-IL-005,,,cedarlane laboratories,291
anticorps&autres,Recombinant Human IL-3,,203-IL-010,,,cedarlane laboratories,237
anticorps&autres,Recombinant Human IL-4,,204-IL-010,,,cedarlane laboratories,264
anticorps&autres,Recombinant Human IL-6,,206-IL-010,,,cedarlane laboratories,298
anticorps&autres,Recombinant human IL-7,5ug,207-IL-005,,R&D Systems,cedarlane laboratories,285
anticorps&autres,recombinant human INF-beta,,11410-1,,,cedarlane laboratories,264
anticorps&autres,recombinant human TNF-alpha,10ug,210-TA-010,,R&D Systems,cedarlane laboratories,264
anticorps&autres,recombinant human trail/tnfsf10,10ug,375-TL-010/CF,,,cedarlane laboratories,418
anticorps&autres,R-phycoerythrin goat anti-rabbit IgG,0.5 ml (1mg/ml),P-2771,,,cedarlane laboratories,120
anticorps&autres,SB202190 hydrochloride ,1 mg,ALX-270-268-M001,,Alexis Biochemicals,cedarlane laboratories,105
anticorps&autres,SEB,1mg,BP202,,,cedarlane laboratories,51
anticorps&autres,siCONTROL GAPD Duplex - Human,20nmol,D-001140-01-20,,dharmacon,cedarlane laboratories,250
anticorps&autres,siGENOME SMARTpool reagent for Bcl2,10nmol,M-003307-04,,dharmacon,cedarlane laboratories,495
anticorps&autres,siGENOME SMARTpool reagent for BCL2A1,10nmol,M-003306-00,,dharmacon,cedarlane laboratories,495
anticorps&autres,siGENOME SMARTpool reagent for CFLAR,10nmol,M-003772-06,,dharmacon,cedarlane laboratories,495
anticorps&autres,SKW 6.4 cell lines,,TIB-215,,ATCC,cedarlane laboratories,224
anticorps&autres,Sphero Ultra Rainbow Fluorescent Particles 3.0-3.4 um,2 ml,URFP-30-2,,,cedarlane laboratories,313
anticorps&autres,ssRNA40/LyoVec,,tlrl-lrna40,,,cedarlane laboratories,337
anticorps&autres,ssRNA40/LyoVec,4x25µg,tlrl-lrna40,,Invivogen,cedarlane laboratories,0
anticorps&autres,TGF-beta,,240-B-002,,,cedarlane laboratories,332
anticorps&autres,TMB-S,1 litre,RDI-TMB-S-1L,,R&D,cedarlane laboratories,378
anticorps&autres,Trail R2 (DR5) PE,citometry,FAB6311P,,,cedarlane laboratories,352
anticorps&autres,TRAPeze Telomerase Detection Kit,kit,S7700,,,cedarlane laboratories,677
anticorps&autres,TRAPeze Telomerase Detection Kit,kit,S7700,,Chemicon International,cedarlane laboratories,677
anticorps&autres,TRAPeze XL Telomerase Detection Kit,kit112rxn,S7707,,,cedarlane laboratories,582.49
anticorps&autres,"Triple Dye Loading Buffer, 6X",1.1ml,50632,,,cedarlane laboratories,25
anticorps&autres,Universal Type I IFN [Recombinant Human IFN-alpha A/D (BglII)],100000 UN,11200-1,,,cedarlane laboratories,239
anticorps&autres,Vav antibody,100ul,2502,,,cedarlane laboratories,240
anticorps&autres,XL2-Blue Ultracompetent cells,10x0.1ml,200150,,,cedarlane laboratories,324
anticorps&autres,X-vivo,500 ml,04-744Q,,,cedarlane laboratories,96
anticorps&autres,Zap-70 Alexa 647,500µl,2707,,,cedarlane laboratories,456
four. labo,Déclaration d'expéditeur Laser,Paquet de 100 feuilles,F83RL,,,cft canada,24.75
four. labo,Etiquette,Paquet,UN3373,,,cft canada,0
four. labo,Papier Brun,boît,153340008,153340008,Choisy,Choisy,28.9
anticorps&autres,Advantage 2 PCR Kit,100runs,639201,,,clontech laboratoire ,294
anticorps&autres,Advantage 2 PCR kit,30 runs,639207,,,clontech laboratoire ,135
anticorps&autres,BD adeno-X virus purification kit,5 preps,631533,,,clontech laboratoire ,925
anticorps&autres,Living colors A.V. peptide antibody,100 ug,8367-1,,,clontech laboratoire ,278.4
anticorps&autres,Living Colors A.V. peptide antibody,1ml,632376,,,clontech laboratoire ,365
four. bureau,Adhésif en aérosol tout usage Super 77,,MMM77,,,Corporate Express,15.19
four. bureau,Agenda Timanager,,DMNCBBM1BLK,,,Corporate Express,17.26
four. bureau,Agrafes,,EXP40022,,,Corporate Express,1.99
four. bureau,Baton de colle,,LEP05342,,,Corporate Express,0.86
four. bureau,Baton de colle Lepage,,LEP05352,,,Corporate Express,1.26
four. bureau,Bloc de feuillets autocollants ligné jaune,,EXP91660,,,Corporate Express,1.58
four. bureau,Bloc-notes reliÃ,,EXP04254,,,Corporate Express,0.53
four. bureau,Bloc-Steno,"350 pages, 2/pqt.",EXP05350,,,Corporate Express,0
four. bureau,boite de rangement,U,EXP1125,,,Corporate Express,1.64
four. bureau,Câble de sécurité  Kensington MicroSaver pour ordi portatif,,KMW64068,,,Corporate Express,56.18
